tweet_id_customer,text_customer,tweet_id_reply,text_reply,text_customer_clean,text_reply_clean,predicted_intent,true_intent,reply_quality,decision,notes
1766766,Dear @115858 you need to fix your map directions for Barcelona because they SUCK and give the wrong directions. Sick of walking in circles🙄🙄🙄,1766762,@448939 Thanks for reaching out. You can submit feedback about Maps here https://t.co/Y0P255EWNf,Dear  you need to fix your map directions for Barcelona because they SUCK and give the wrong directions. Sick of walking in circles🙄🙄🙄,Thanks for reaching out. You can submit feedback about Maps here,bug_performance_issue,bug_performance_issue,decent ,,
2787818,@AppleSupport For saving my personal data’s,2787817,@778259 Let's move this to DM as it involves personal data. https://t.co/GDrqU22YpT,For saving my personal data’s,Let's move this to DM as it involves personal data.,how_to_info_request,how_to_info_request,decent ,,
1510773,"@AppleSupport my IPhone 6s is almost useless after updating to #ios1103. Camera opens very slowly, battery drains, etc. I am disappointed.",1510772,@470659 Thanks for reaching out to us. Please send us a DM and we can chat with you there. https://t.co/GDrqU22YpT,"my IPhone 6s is almost useless after updating to #ios1103. Camera opens very slowly, battery drains, etc. I am disappointed.",Thanks for reaching out to us. Please send us a DM and we can chat with you there.,bug_performance_issue,general_complaint,decent ,,
2479108,"Okay, @115858 and @AppleSupport why does my phone change an “I️” to and “! A ?”
#ICantReadHieroglyphics",2479107,"@708501 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6","Okay,  and  why does my phone change an “I️” to and “! A ?”
#ICantReadHieroglyphics","We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up:",how_to_info_request,bug_performance_issue,good,,
1272401,@AppleSupport ios11 on an iPhone 7plus doesn’t work. Pls fix. I’m not buying the 8. https://t.co/UT1Nmuib2Y,1272400,@417852 We’d be happy to help. Can you tell us a bit more about the issue? Which version of iOS 11 are you using?,ios11 on an iPhone 7plus doesn’t work. Pls fix. I’m not buying the 8.,We’d be happy to help. Can you tell us a bit more about the issue? Which version of iOS 11 are you using?,bug_performance_issue,general_complaint,decent ,,
851797,"@AppleSupport Thanks but as mentioned, it only saves it as an image when this is done",851798,"@322338 You're welcome. Where was this GIF originally saved from? DM us back, we'll dig a bit further into this there. https://t.co/GDrqU22YpT","Thanks but as mentioned, it only saves it as an image when this is done","You're welcome. Where was this GIF originally saved from? DM us back, we'll dig a bit further into this there.",bug_performance_issue,bug_performance_issue,good,,
1626170,"@AppleSupport It’s been fixed, thanks.",1626172,"@497961 We're glad to know it was resolved. If you have any concerns or questions in the future, please feel free to reach out us.","It’s been fixed, thanks.","We're glad to know it was resolved. If you have any concerns or questions in the future, please feel free to reach out us.",general_complaint,general_complaint,good,,
2955499,@AppleSupport I just received an email from “apple support” instructing me to verify my account through a link embedded in a pdf. Then asks for ALL my personal info. Is this a spoof scam?,2955498,@815857 We're so glad you reached out to us to confirm the validity of the email you received. We'd like to share the following article with you that has some guidance on dealing with phishing emails: https://t.co/LNMCdqt6fD,I just received an email from “apple support” instructing me to verify my account through a link embedded in a pdf. Then asks for ALL my personal info. Is this a spoof scam?,We're so glad you reached out to us to confirm the validity of the email you received. We'd like to share the following article with you that has some guidance on dealing with phishing emails:,how_to_info_request,how_to_info_request,decent ,,
2680249,My right headphone just stopped working somehow and I’m actually boutta start crying cuz bITCH WHAT THE FUCK I SPENT $100 ON THESE SHITS AND THEY DIDN’T EVEN LAST A WHOLE FUCKING YEAr bitch I’m so fucking heated 😤... 🙄😢😢😢 @118845 pls hook me up w/ some new ones fam :((,2680248,@125452 Let’s get you pointed in the right direction. Our @159983 team will take it from here.,My right headphone just stopped working somehow and I’m actually boutta start crying cuz bITCH WHAT THE FUCK I SPENT $100 ON THESE SHITS AND THEY DIDN’T EVEN LAST A WHOLE FUCKING YEAr bitch I’m so fucking heated 😤... 🙄😢😢😢  pls hook me up w/ some new ones fam :((,Let’s get you pointed in the right direction. Our  team will take it from here.,general_complaint,general_complaint,bad,,
1991375,@115858 hey that error with that “I” has to go. Please fix. Thank you! Long time customer 😎✊🏾,1991374,@209635 Let's meet up in DM to discuss what you're seeing in further detail. Here's a link so we can work together on this: https://t.co/GDrqU22YpT,hey that error with that “I” has to go. Please fix. Thank you! Long time customer 😎✊🏾,Let's meet up in DM to discuss what you're seeing in further detail. Here's a link so we can work together on this:,bug_performance_issue,bug_performance_issue,decent ,,
922106,Cómo deshago las últimas dos pésimas actualizaciones de IOS ? @AppleSupport mi iPhone 7 no corre igual habrá alguna mejora?,922104,@338898 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Cómo deshago las últimas dos pésimas actualizaciones de IOS ?  mi iPhone 7 no corre igual habrá alguna mejora?,We offer support via Twitter in English. Get help in Spanish here:  or join,how_to_info_request,bug_performance_issue,decent,,
546580,L’iPhone 7 inutilisable depuis ce matin ! #apple doit rapidement réagir. Inadmissible. #iPhone7 #iPhone @115858 @AppleSupport,546578,@247099 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,L’iPhone 7 inutilisable depuis ce matin ! #apple doit rapidement réagir. Inadmissible. #iPhone7 #iPhone,We offer support via Twitter in English. Contact us for help in your preferred language here:,bug_performance_issue,bug_performance_issue,good,,
2310368,"Since this update, my phone won’t connect to any calls and the alarm won’t make an external sound. Yes the volume is on. And no, it’s not a network problem @AppleSupport please help",2310367,"@344769 Which iOS version are you running, specifically? Let us know in a DM. https://t.co/GDrqU22YpT","Since this update, my phone won’t connect to any calls and the alarm won’t make an external sound. Yes the volume is on. And no, it’s not a network problem  please help","Which iOS version are you running, specifically? Let us know in a DM.",bug_performance_issue,bug_performance_issue,good,,
1706133,@115948 @AppleSupport @115858 @118721 c’est une blague la !!!!? Genre pourquoi l’album de Bee Lemonade - n’est pas disponible en France? https://t.co/11ZlVYeeFn,1706132,@517088 We offer support via Twitter in English. Contact an advisor for help in your preferred language here: https://t.co/5wewfI3Xkv,c’est une blague la !!!!? Genre pourquoi l’album de Bee Lemonade - n’est pas disponible en France?,We offer support via Twitter in English. Contact an advisor for help in your preferred language here:,how_to_info_request,how_to_info_request,good,,
1336269,"bravo @115858 - after completing my order with store pickup, tells me no stores available but won't let me ship it. Try again, get this: https://t.co/YglVYhTkxP",1336267,"@431719 Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link:  https://t.co/8yjRd1Xo0i","bravo  - after completing my order with store pickup, tells me no stores available but won't let me ship it. Try again, get this:","Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link:",order_purchase_billing,order_purchase,good,,
2568181,"Dear @115858 i’d like for my Wifi/Bluetooth to stop turning on by themselves and my brightness to change only when I want it to, thanks.",2568180,@387868 We can assist you. Please DM us via the following link with your device model and we'll help you further. https://t.co/GDrqU22YpT,"Dear  i’d like for my Wifi/Bluetooth to stop turning on by themselves and my brightness to change only when I want it to, thanks.",We can assist you. Please DM us via the following link with your device model and we'll help you further.,how_to_info_request,how_to_info_request,good,,
2952425,I see y’all still haven’t fixed I️t @115858,2952423,"@706315 We've released an update that includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards.",I see y’all still haven’t fixed I️t,"We've released an update that includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards.",general_complaint,general_complaint,good,,
1459876,@314428 @AppleSupport I️ was literally just talking about this! Google didn’t have an answer. #plzhelp,1474757,"@462362 Hello, thanks for reaching out about this. DM us with which iOS version you’re using for assistance. https://t.co/GDrqU22YpT",I️ was literally just talking about this! Google didn’t have an answer. #plzhelp,"Hello, thanks for reaching out about this. DM us with which iOS version you’re using for assistance.",general_complaint,general_complaint,decent ,,
1413496,@AppleSupport I never had this problem before iOS 11. Nothing was changed except for the update.,1413499,"@116352 Got it, thanks for letting us know. We'd like to take a look at some additional details. DM us with the link below. https://t.co/GDrqU22YpT",I never had this problem before iOS 11. Nothing was changed except for the update.,"Got it, thanks for letting us know. We'd like to take a look at some additional details. DM us with the link below.",bug_performance_issue,general_complaint,decent ,,
2734445,"Hey @AppleSupport 

Really appreciate the reduced battery life with #ios11 
At the rate you’re going, the iPhone won’t be a mobile phone anymore. Constantly on the charger. 😣",2734443,"@766387 We can help with battery life. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version.","Hey  

Really appreciate the reduced battery life with #ios11 
At the rate you’re going, the iPhone won’t be a mobile phone anymore. Constantly on the charger. 😣","We can help with battery life. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version.",bug_performance_issue,general_complaint,decent ,,
2414394,@115858 y’all need to get it the fuck together.  cause i’m not buying the X . so y’all need to make my phone stop glitching,2414393,@693996 What issues are you currently having? We'd love to help out.,y’all need to get it the fuck together.  cause i’m not buying the X . so y’all need to make my phone stop glitching,What issues are you currently having? We'd love to help out.,bug_performance_issue,general_complaint,bad,,
1297494,@AppleSupport these pictures were in my iCloud I think someone hacked my phone https://t.co/Vl6Eh9XwKU,1297493,@423203 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,these pictures were in my iCloud I think someone hacked my phone,Thanks for reaching out. We're here to help. DM us so we can look into this further with you.,general_complaint,general_complaint,decent ,,
2301167,@115858 fix the damn glitch already!,2301166,@667868 We're here for you. Can you provide us details on what's happening?,fix the damn glitch already!,We're here for you. Can you provide us details on what's happening?,bug_performance_issue,bug_performance_issue,decent ,,
2474999,@115858 y’all need to fix my phone bc the update turned my iMessage off ORR you can run me a whole new phone for FREE,2474998,@707567 We can help! What's going on with your iMessage exactly? Send us a DM to get started. https://t.co/GDrqU22YpT,y’all need to fix my phone bc the update turned my iMessage off ORR you can run me a whole new phone for FREE,We can help! What's going on with your iMessage exactly? Send us a DM to get started.,bug_performance_issue,bug_performance_issue,decent ,,
2700976,"@AppleSupport Hallo, hoe krijgt men contact met u?",2700975,@758724 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,"Hallo, hoe krijgt men contact met u?",We offer support via Twitter in English. Contact us for help in your preferred language here:,how_to_info_request,how_to_info_request,decent ,,
519197,"well, my phone keeps randomly resetting/crashing every 60 seconds so sorry if you need to contact me while i’m out!! @AppleSupport thank you for making a very bad and useless phone.",519196,"@239806 We want to help with your iPhone. To start, can you tell us when this first began and were you using a specific application or feature at that time? Also, what's the iOS version you're using?

Meet us in a DM, we'll continue there. https://t.co/GDrqU2kzhr","well, my phone keeps randomly resetting/crashing every 60 seconds so sorry if you need to contact me while i’m out!!  thank you for making a very bad and useless phone.","We want to help with your iPhone. To start, can you tell us when this first began and were you using a specific application or feature at that time? Also, what's the iOS version you're using?

Meet us in a DM, we'll continue there.",bug_performance_issue,bug_performance_issue,decent ,,
596937,"@AppleSupport With apple maps and google maps,  my location “indicator” does not keep up with what my actual location is (i.e. the blue “dot” appears stuck when driving from one location to another and will make sudden adjustments, but appear stuck again)",596939,"@261513 Thanks for clearing that up for us. 

Since you mentioned this started yesterday, can you let us know if there were any changes made to your iPhone at that time? For example, were any updates installed, or any settings changed?","With apple maps and google maps,  my location “indicator” does not keep up with what my actual location is (i.e. the blue “dot” appears stuck when driving from one location to another and will make sudden adjustments, but appear stuck again)","Thanks for clearing that up for us. 

Since you mentioned this started yesterday, can you let us know if there were any changes made to your iPhone at that time? For example, were any updates installed, or any settings changed?",bug_performance_issue,bug_performance_issue,decent ,,
2771776,@AppleSupport @115858 theres also a thread on your website. Idk if yall were aware     https://t.co/bUEY7cg6hM,2771775,"@413219 We'd like to work with you on your specific issues you are seeing with your iPhone. Could you join us in DM with more details on what you are seeing, and we'll start working together from there? https://t.co/GDrqU22YpT",theres also a thread on your website. Idk if yall were aware,"We'd like to work with you on your specific issues you are seeing with your iPhone. Could you join us in DM with more details on what you are seeing, and we'll start working together from there?",general_complaint,general_complaint,decent ,,
1434197,@AppleSupport the new iOS 11 point whatever has my phone glitching. What’s going on?,1434195,"@452986 We want to help get your iPhone working properly.  Please describe the issue you are having, and which iPhone you're using.",the new iOS 11 point whatever has my phone glitching. What’s going on?,"We want to help get your iPhone working properly.  Please describe the issue you are having, and which iPhone you're using.",bug_performance_issue,bug_performance_issue,decent ,,
690436,@AppleSupport @230810 Does this offer stand for everyone commenting here with the same issue? Thank you.,1370823,"@439086 We want to help with any issues you're experiencing! DM us with details, and we'll find a solution together. https://t.co/GDrqU22YpT",Does this offer stand for everyone commenting here with the same issue? Thank you.,"We want to help with any issues you're experiencing! DM us with details, and we'll find a solution together.",how_to_info_request,how_to_info_request,decent,,
1332412,@AppleSupport Yes &amp; I have tried turning it on with both contacts only &amp; everyone.,1332413,"@430831 We notice that your initial tweet said Airdrop ""still"" doesn't work. Was this an issue before iOS 11?",Yes &amp; I have tried turning it on with both contacts only &amp; everyone.,"We notice that your initial tweet said Airdrop ""still"" doesn't work. Was this an issue before iOS 11?",general_complaint,how_to_info_request,decent ,,
2607514,@AppleSupport Hopefully I won’t see the “Snapchat-Yellow Screen of Death” in the future. Thanks for the quick reply 👍,2607515,"@737620 If you do, please feel free to send us a DM and we can continue looking into the matter from there. https://t.co/GDrqU22YpT",Hopefully I won’t see the “Snapchat-Yellow Screen of Death” in the future. Thanks for the quick reply 👍,"If you do, please feel free to send us a DM and we can continue looking into the matter from there.",bug_performance_issue,general_complaint,decent ,,
559100,"Hey @115858 I absolutely love how my brand new $1400 dollar iPhone dies by 1 o'clock in the afternoon, you guys fucking rock  #🖕🏻",559099,@250662 Having battery life that you can rely on is crucial to making your day run smoothly. Let's work together to figure out what may be causing this to happen. Join us in DM with the iOS version currently installed on your iPhone. https://t.co/GDrqU22YpT,"Hey  I absolutely love how my brand new $1400 dollar iPhone dies by 1 o'clock in the afternoon, you guys fucking rock  #🖕🏻",Having battery life that you can rely on is crucial to making your day run smoothly. Let's work together to figure out what may be causing this to happen. Join us in DM with the iOS version currently installed on your iPhone.,bug_performance_issue,bug_performance_issue,decent ,,
2193465,@AppleSupport what can I do to make the battery life on my 6 S decent again? It is terrible since I updated to iOS 11 under same usage.,2193464,@641946 We want to help. Which version of iOS 11 are you currently running?,what can I do to make the battery life on my 6 S decent again? It is terrible since I updated to iOS 11 under same usage.,We want to help. Which version of iOS 11 are you currently running?,bug_performance_issue,how_to_info_request,bad,,
