tweet_id_customer,text_customer,tweet_id_reply,text_reply,text_customer_clean,text_reply_clean,predicted_intent,true_intent,reply_quality,decision,notes,generated_reply
1336269,"bravo @115858 - after completing my order with store pickup, tells me no stores available but won't let me ship it. Try again, get this: https://t.co/YglVYhTkxP",1336267,"@431719 Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link:  https://t.co/8yjRd1Xo0i","bravo  - after completing my order with store pickup, tells me no stores available but won't let me ship it. Try again, get this:","Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link:",order_purchase_billing,order_purchase_billing,good,escalate,,"Hi there!  
Thanks for letting us know about the hiccup. Could you share your order number and the store you selected for pickup? I’ll look into why the pickup option is showing “no stores available” and see if we can switch the order to shipping for you.  

In the meantime, try clearing the Apple Store app cache or re‑loading the page on a different browser—sometimes that clears up the issue.  

If the problem persists, I’ll forward the details to our Sales Support team so they can help you get the order shipped right away.  

Looking forward to your reply!"
2129202,Why is my iPhone 8 slow &amp; lagging @AppleSupport,2129201,@626780 Let's take a look together. Which iOS version do you currently have installed on your 8? Let us know more in DM. https://t.co/GDrqU22YpT,Why is my iPhone 8 slow &amp; lagging,Let's take a look together. Which iOS version do you currently have installed on your 8? Let us know more in DM.,bug_performance_issue,bug_performance_issue,partial,escalate,,Thanks for reaching out to us for support. We’d love to help you get your iPhone 8 running smoothly. Could you let us know which iOS version is currently installed on your device? That information will help us determine the best steps to resolve the lagging issue.
566751,@AppleSupport my phone keeps crashing getting me to put my pin code in numerous times this has just started,566750,@252879 We know the importance of getting that fixed quickly! You'll want to get your device updated to correct that issue. Here's the steps: https://t.co/osZOKKTalm,my phone keeps crashing getting me to put my pin code in numerous times this has just started,We know the importance of getting that fixed quickly! You'll want to get your device updated to correct that issue. Here's the steps:,bug_performance_issue,bug_performance_issue,good,auto,,"Hi there!  
I’m sorry you’re having trouble with your iPhone. Let’s get this sorted out together.

**First, could you let me know:**

- Which iPhone model you’re using (e.g., iPhone 13, iPhone 12 Pro, etc.)  
- The iOS version currently installed (you can find this in *Settings > General > About* under “Software Version”)  
- Whether the crash happens after opening a particular app or just when you’re on the lock screen / home screen  
- If you’ve recently installed any new apps or updates before the problem started

**In the meantime, here are a few quick steps you can try:**

1. **Force‑restart your iPhone**  
   - iPhone 8 or later: press‑and‑release the Volume Up button, press‑and‑release the Volume Down button, then press‑and‑hold the Side button until the Apple logo appears.  
   - iPhone 7/7 Plus: press‑and‑hold the Volume Down and Side buttons until the Apple logo appears.  
   - iPhone 6s or earlier: press‑and‑hold the Home and Top (or Side) buttons until the Apple logo appears.

2. **Check for a software update** – *Settings > General > Software Update*. If an update is available, install it; many bugs are fixed in newer releases.

3. **Reset all settings** – *Settings > General > Transfer or Reset iPhone > Reset > Reset All Settings*. This won’t delete your data, but it will reset Wi‑Fi passwords, wallpaper, and other preferences.

4. **Safe mode test** – If you suspect a third‑party app is causing the crash, try uninstalling recently added apps one by one and see if the issue persists.

If the problem continues after trying these steps, let me know the details above and we can explore a more specific fix or arrange a repair if needed.

Thanks for reaching out, and I’m here to help!"
1626170,"@AppleSupport It’s been fixed, thanks.",1626172,"@497961 We're glad to know it was resolved. If you have any concerns or questions in the future, please feel free to reach out us.","It’s been fixed, thanks.","We're glad to know it was resolved. If you have any concerns or questions in the future, please feel free to reach out us.",general_complaint,general_complaint,good,escalate,,"You’re welcome! If anything else comes up, just let us know. Have a great day!"
1657821,@AppleSupport are you all releasing an update or something to address this glitch? https://t.co/NRr1YALCTh,1657819,@505829 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,are you all releasing an update or something to address this glitch?,Here’s what you can do to work around the issue until it’s fixed in a future software update:,how_to_info_request,how_to_info_request,partial,escalate,,"We’re on it! In the meantime, the quickest way to see if the issue is resolved is to make sure your device is running the latest iOS version.

1. **Back up** your iPhone/iPad (iCloud or iTunes/Finder).  
2. Go to **Settings > General > Software Update** and install any available update.  
3. Restart your device and let us know if the glitch still appears.

Could you also tell us a bit more about what’s happening—e.g., which app or feature is glitching, and what device/iOS version you’re using? That’ll help us pinpoint the problem and get you a fix as soon as possible."
1009095,"Just updated my Music Library and music app is crashing when opening it, why? @115858",1009093,@358781 We'd like to help you get the Music app working as expected. Could you tell us which device and system you're having this issue on?,"Just updated my Music Library and music app is crashing when opening it, why?",We'd like to help you get the Music app working as expected. Could you tell us which device and system you're having this issue on?,bug_performance_issue,bug_performance_issue,partial,escalate,,"Thanks for reaching out. Let’s get your Music app back up and running.

1. **Is the Music app up to date?**  
   - Open **Settings > General > Software Update** and make sure your device is running the latest iOS version.  
   - If an update is available, install it and then try opening the Music app again.

2. **What type of library did you update?**  
   - Are you an Apple Music subscriber, or did you sync music through iTunes (or Finder on macOS)?  
   - Knowing this helps us pinpoint whether the crash is related to a subscription sync or a local library issue.

3. **Quick troubleshooting steps**  
   - **Restart your device** – a simple reboot often clears temporary glitches.  
   - **Delete and reinstall the Music app** (press and hold the app icon, tap “Remove App” → “Delete App”, then reinstall from the App Store).  
   - If you’re using iTunes/Finder sync, try syncing again after a fresh restart.

4. **If the crash persists**  
   - Let us know the iOS version you’re on (Settings > General > About → Software Version).  
   - If you can, provide any error message or screenshot that appears when the app crashes.

Once we have that info, we can dig deeper or suggest a more specific fix. Looking forward to getting your music back!"
1701012,@AppleSupport get rid of this question box thing I keep seeing please!,1701010,@515785 We'd like to better understand what's happening to see how we can help. What exactly is happening and on which device model?,get rid of this question box thing I keep seeing please!,We'd like to better understand what's happening to see how we can help. What exactly is happening and on which device model?,how_to_info_request,how_to_info_request,partial,escalate,,"Here’s what you can do to work around the issue until it’s fixed in a future software update:

1. **Check the Settings that control on‑screen help bubbles**  
   * Open **Settings** → **General** → **About**.  
   * If you see a toggle labeled **“Show Question Mark”** (or similar), turn it off.  

2. **If the question box appears on the keyboard**  
   * Go to **Settings** → **General** → **Keyboard**.  
   * Disable **“Show Suggestions”** or **“Predictive”** – this removes the little question‑mark bubble that sometimes shows up.  

3. **If it’s coming from a specific app**  
   * Close the app completely (double‑tap the Home button or swipe up on the app preview) and reopen it.  
   * If the bubble persists, try resetting that app’s settings: **Settings** → **[App name]** → **Reset** (or **Delete App** and reinstall).  

4. **Restart your device**  
   * A quick restart often clears temporary UI glitches that can cause stray question boxes.  

If the question box keeps showing up after trying these steps, let us know the exact screen or app where it appears and we’ll dig deeper."
2944552,@116333 @AppleSupport @156470 @140312 look what I found after opening my https://t.co/t6gMkFyqbE sent me a damaged unit and they don’t want to replace it as the technical service is not available in my country I’m really disappointed and I will never buy any Apple product https://t.co/aq2QCtEVxR,2944551,@813415 We'd love to help out with your new iPhone X. What country are you located in? Let us know in Direct Message and we'd be happy to assist. https://t.co/GDrqU22YpT,look what I found after opening my  sent me a damaged unit and they don’t want to replace it as the technical service is not available in my country I’m really disappointed and I will never buy any Apple product,We'd love to help out with your new iPhone X. What country are you located in? Let us know in Direct Message and we'd be happy to assist.,general_complaint,hardware_safety_issue,partial,escalate,,"I’m really sorry you’ve received a damaged unit and that you’re feeling let down.  
We want to make this right for you.

Could you please let me know:

* The model and serial number of the device  
* Where you purchased it (store or online)  
* Your current address (so we can arrange shipping)

Once I have that information, I’ll arrange a replacement or a refund for you and will ship the new unit directly to you—no need for a local service center.  

Thank you for giving us the chance to fix this. We value your business and hope to restore your confidence in Apple."
1023841,@AppleSupport the screen had the alarm screen showing with the options for cancel/snooze but that was it. Haven’t changed my alarm settings,1023840,@362282 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,the screen had the alarm screen showing with the options for cancel/snooze but that was it. Haven’t changed my alarm settings,Let's look into that. Send us a DM and we'll go from there.,bug_performance_issue,bug_performance_issue,partial,escalate,,"Hi there,

It sounds like the alarm is showing the cancel/snooze screen but isn’t actually ringing. Let’s make sure everything is set up correctly:

1. **Check the alarm time** – Open the Clock app → Alarm → tap the alarm in question. Make sure the time is correct and the toggle is ON.  
2. **Alarm sound** – In the same alarm settings, tap *Sound* and pick a tone. If it’s set to “None,” the alarm won’t play.  
3. **Volume & Silent mode** – Ensure the ringer volume is up (use the side volume buttons) and that the side switch isn’t set to Silent.  
4. **Focus/Do‑Not‑Disturb** – Go to *Settings* → *Focus* and confirm that no Focus mode is silencing alarms.  
5. **Test the alarm** – Set a new alarm for a minute from now and see if it rings.

If you’ve already checked these and it’s still not working, try deleting the alarm and creating a fresh one.

You can also review the full troubleshooting steps in Apple’s “Get help with Alarms” article:  
[https://support.apple.com/en-us/HT210386](https://support.apple.com/en-us/HT210386)

Let us know if this resolves the issue or if you need any further assistance. Have a great day!"
2080934,Note to self. My @115858 #AppleWatchSeries3 went Samsung galaxy on me and nearly exploded putting it into theater mode. Wow.,2080933,@615371 We want to help. DM us details and include the country you're in. We'll continue support with you there. https://t.co/GDrqU22YpT,Note to self. My  #AppleWatchSeries3 went Samsung galaxy on me and nearly exploded putting it into theater mode. Wow.,We want to help. DM us details and include the country you're in. We'll continue support with you there.,hardware_safety_issue,hardware_safety_issue,partial,escalate,,"We’re happy to help. Let’s try a few quick steps to get your Apple Watch Series 3 back to normal:

1. **Restart the watch** – Press and hold the side button until the power‑off slider appears, then slide to power off. Wait a few seconds, then press and hold the side button again until the Apple logo shows.

2. **Check for software updates** – Open the Watch app on your paired iPhone, tap General → Software Update. If an update is available, install it.

3. **Reset theater mode** – On the watch, swipe up to open Control Center, tap the theater mode icon (the stage‑hand) to toggle it off, then toggle it back on.

4. **Factory reset (if needed)** – If the watch still behaves oddly, back up your data in the Watch app, then go to General → Reset → Erase All Content and Settings. After the reset, set it up again from your backup.

If the watch shows any physical damage (burn marks, swelling, or a strong odor), please stop using it immediately and bring it to an Apple Store or an authorized service provider for inspection. Safety is our top priority.

Let us know how it goes or if you need further assistance!"
